????abandon,/ ?’b?nd?n/                                             ,vt.丢弃；放弃，抛弃
　　ancestor,/ ‘?nsist?/                                             ,n.祖宗，祖先
　　anchor,/ ‘??k?/                                             ,n.锚 vi.抛锚，停泊
　　ancient,/ ‘ein??nt/                                             ,a.古代的，古老的
　　ankle,/ ‘??kl/                                             ,n.踝，踝节部
　　announce,/ ?’nauns/                                             ,vt.宣布，宣告，发表
　　annoy,/ ?’n?i/                                             ,vt.使恼怒；打搅
　　annual,/ ‘?nju?l/                                             ,a.每年的 n.年报
　　anticipate,/ ?n’tisipeit/                                             ,vt.预料，预期，期望
　　anxiety,/ ??g’zai?ti/                                             ,n.焦虑，忧虑；渴望
　　anxious,/ ‘??k??s/                                             ,a.忧虑的；渴望的
　　apart,/ ?’pa:t/                                             ,ad.相隔；分开；除去
　　apologize,/ ?’p?l?d?aiz/                                             ,vi.道歉，谢罪，认错
　　apparatus,"/ ,?p?’reit?s/                                             ",n.器械，仪器；器官
　　appeal,/ ?’pi:l/                                             ,vi.&n.呼吁；申述
　　appetite,/ ‘?pitait/                                             ,n.食欲，胃口；欲望
　　appliance,/ ?’plai?ns/                                             ,n.用具，器具，器械
　　applicable,/ ‘?plik?bl/                                             ,a.能应用的；适当的
　　application,/ ?pli’kei??n/                                             ,n.请求，申请；施用
　　app?int,/ ?’p?int/                                             ,vt.任命，委任；约定
　　appreciate,/ ?’pri:?ieit/                                             ,vt.欣赏；领会；感谢
　　approval,/ ?’pru:v?l/                                             ,n.赞成，同意；批准
　　approve,/ ?’pru:v/                                             ,vt.赞成，称许；批准
　　approximate,/ ?’pr?ksimit/                                             ,a.近似的 vt.近似
　　arbitrary,/ ‘a:bitr?ri/                                             ,a.随心所欲的；专断的
　　architecture,/ ‘a:kitekt??/                                             ,n.建筑学；建筑式样
　　argue,/ ‘a:gju:/                                             ,vi.争论，争辩，辩论
　　argument,/ ‘a:gju:m?nt/                                             ,n.争论，辩论；理由
　　arise,/ ?’raiz/                                             ,vi.出现；由…引起
　　arithmetic,/ ?’riθm?tik/                                             ,n.算术，四则运算
　　arouse,/ ?’rauz/                                             ,vt.引起，唤起；唤醒
　　article,/ ‘a:tikl/                                             ,n.条款；物品
　　artificial,/ a:ti’fi??l/                                             ,a.人工的；娇揉造作的
　　artistic,/ a:’tistik/                                             ,a.艺术的；艺术家的
　　ash,/ ??/                                             ,n.灰，灰末；骨灰
　　ashamed,/ ?’?eimd/                                             ,a.惭愧(的)；羞耻(的)
　　aspect,/ ‘?spekt/                                             ,n.方面；样子，外表
　　assemble,/ ?’sembl/                                             ,vt.集合，召集；装配
　　assembly,/ ?’sembli/                                             ,n.集合；集会；装配
　　assess,/ ?’ses/                                             ,vt.对(财产等)估价
　　assign,/ ?’sain/                                             ,vt.指派；分配；指定
　　assist,/ ?’sist/                                             ,vt.援助，帮助；搀扶
　　assistance,/ ?’sist?ns/                                             ,"n. 协助,援助"
　　associate,/ ?’s?u?ieit/                                             ,vi.交往 n.伙伴，同事
　　association,/ ?s?usi’ei??n/                                             ,n.协会，团体；联合
　　assume,/ ?’sju:m/                                             ,vt.假定；承担；呈现
　　assure,/ ?’?u?/                                             ,vt.使确信；向…保证
　　astonish,/ ?s’t?ni?/                                             ,vt.使惊讶，使吃惊
　　astronaut,/ ‘?st??un?:t/                                             ,n.宇宙航行员，宇航员
　　?tlantic,/ ?t’l?ntik/                                             ,a.大西洋的 n.大西洋
　　atom,/ ‘?t?m/                                             ,n.原子；微粒；微量
　　atomic,/ ?’t?mik/                                             ,a.原子的；原子能的
　　attach,/ ?’t?t?/                                             ,vt.缚，系，贴；附加
　　attain,/’tein/                                             ,vt.达到，获得，完成
　　attempt,/ ?’tempt/                                             ,vt.尝试，试图 n.企图
　　attend,/ ?’tend/                                             ,vt.出席；照顾，护理
　　attribute,/ ‘?tribju:t/                                             ,vt.把…归因于 n.属性
　　audience,/ ‘?:dj?ns/                                             ,n.听众，观众，读者
　　authority,/ ?:’θ?riti/                                             ,n.当局，官方；权力
　　automatic,/ ?:t?’m?tik/                                             ,a.自动的；机械的
　　automobile,/ ‘?:t?m?bi:l/                                             ,n.汽车，机动车
　　auxiliary,/ ?:g’zilj?ri/                                             ,a.辅助的；附属的
　　available,/ ?’veil?bl/                                             ,a.可利用的；通用的
　　avenue,/ ‘?vinju:/                                             ,n.林荫道，道路；大街
　　await,/ ?’weit/                                             ,vt.等候，期待
　　awake,/ ?’weik/                                             ,a.醒着的 vt.唤醒
　　award,/ ?’w?:d/                                             ,n.奖，奖品；判定
　　aware,/ ?’we?/                                             ,a.知道的，意识到的
　　awful,/ ‘?:ful/                                             ,a.令人不愉快的
　　awkward,/ ‘?:kw?d/                                             ,a.笨拙的；尴尬的
　　ax,/ ?ks/                                             ,n.斧子
B,,
,,
　　background,/ ‘b?kgraund/                                             ,n.背景，后景，经历
?,,
　　backward,/ ‘b?kw?d/                                             ,a.向后的；倒的 ad.倒
　　bacteria,/ b?k’ti?ri?/                                             ,n.细菌
　　baggage,/ ‘b?gid?/                                             ,n.行李
　　bake,/ beik/                                             ,vt.烤，烘，焙；烧硬
　　balance,/ ‘b?l?ns/                                             ,vt.使平衡；称 n.天平
　　ball,/ b?:l/                                             ,n.球，球状物；舞会
　　balloon,/ b?’lu:n/                                             ,n.气球，玩具气球
　　banana,/ b?’na:n?/                                             ,n.香蕉；芭蕉属植物
　　band,/ b?nd/                                             ,n.乐队；带；波段
　　bang,/ b??/                                             ,n.巨响，枪声；猛击
　　bank,/ b??k/                                             ,n.银行；库；岩，堤
　　bar,/ ba:/                                             ,n.酒吧间；条，杆；栅
　　barber,/ ‘ba:b?/                                             ,n.理发师
　　bare,/ be?/                                             ,a.赤裸的；仅仅的
　　bargain,/ ‘ba:gin/                                             ,n.交易 vi.议价；成交
　　barrel,/ ‘b?r?l/                                             ,n.桶；圆筒；枪管
　　barrier,/ ‘b?ri?/                                             ,n.栅栏，屏障；障碍
　　base,/ beis/                                             ,n.基础，底层；基地
　　basic,/ ‘beisik/                                             ,a.基本的，基础的
　　basically,/ ‘beisik?li/                                             ,ad.基本上
　　basin,/ ‘beisn/                                             ,n.盆，洗脸盆；盆地
　　basis,/ ‘beisis/                                             ,n.基础，根据
　　basket,/ ‘ba:skit/                                             ,n.篮，篓，筐
　　basketball,/ ‘ba:skitb?:l/                                             ,n.篮球；篮球运动
　　bath,/ ba:θ/                                             ,n.浴，洗澡；浴缸
　　bathe,/ beie/                                             ,vt.给…洗澡；弄湿
　　bathroom,/ ‘ba:θrum/                                             ,n.浴室；盥洗室
　　battery,/ ‘b?t?ri/                                             ,n.电池；一套，一组
　　battle,/ ‘b?tl/                                             ,n.战役；斗争 vi.作战
　　bay,/ bei/                                             ,n.湾；山脉中的凹处
　　be,/ bi:/                                             ,aux.v.&vi.是，在，做
　　beach,/ bi:t?/                                             ,n.海滩，湖滩，河滩
　　beam,/ bi:m/                                             ,n.梁；横梁；束，柱
　　bean,/ bi:n/                                             ,n.豆，蚕豆
　　bear,/ be?/                                             ,n.熊；粗鲁的人
　　bear,/ be?/                                             ,vt.容忍；负担；生育
　　beard,/ bi?d/                                             ,n.胡须，络腮胡子
　　beast,/ bi:st/                                             ,n.兽，野兽；牲畜
　　beat,/ bi:t/                                             ,vt.&vi.打，敲；打败
　　beautiful,/ ‘bju:tiful/                                             ,a.美的，美丽的
　　beauty,/ ‘bju:ti/                                             ,n.美，美丽；美人
　　because,/ bi’k?z/                                             ,conj.由于，因为
　　become,/ bi’kΛm/                                             ,vi.变成；成为，变得
　　bed,/ bed/                                             ,n.床，床位；圃；河床
　　bee,/ bi:/                                             ,n.蜂，密蜂；忙碌的人
　　beef,/ bi:f/                                             ,n.牛肉；菜牛
　　beer,/ bi?/                                             ,n.啤酒
　　before,/ bi’f?:/                                             ,prep.在…以前；向…
　　beg,/ beg/                                             ,vt.&vi.乞求；请求
　　begin,/ bi’gin/                                             ,vi.开始 vt.开始
　　beginning,/ bi’gini?/                                             ,n.开始，开端；起源
　　behalf,/ bi’ha:f/                                             ,n.利益，维护，支持
　　behave,/ bi’heiv/                                             ,vi.表现，举止；运转
　　behavior,/ bi’heivj?/                                             ,n.行为，举止，态度
　　behind,/ bi’haind/                                             ,prep.在…后面
　　being,/ ‘bi:i?/                                             ,n.存在；生物；生命
　　belief,/ bi’li:f/                                             ,n.信任，相信；信念
　　believe,/ bi’li:v/                                             ,vt.相信；认为
　　bell,/ bel/                                             ,n.钟，铃，门铃；钟声
　　belong,/ bi’l??/                                             ,vi.属于，附属
　　below,/ bi’l?u/                                             ,prep.在…下面(以下)
　　belt,/ belt/                                             ,n.带，腰带；皮带；区
　　bench,/ bent?/                                             ,n.长凳，条凳；工作台
　　bend,/ bend/                                             ,vt.使弯曲 vi.弯曲
　　beneath,/ bi’ni:θ/                                             ,prep.在…下方
　　beneficial,/ beni’fi??l/                                             ,a.有利的，有益的
　　benefit,/ ‘benifit/                                             ,n.利益；恩惠；津贴
　　beside,/ bi’said/                                             ,prep.在…旁边
　　besides,/ bi’saidz/                                             ,ad.而且prep.除…之外
　　best,/ best/                                             ,a.最好的；最大的
　　bet,/ bet/                                             ,vt.&vi.&n.打赌
　　better,/ ‘bet?/                                             ,a.较好的 ad.更好地
　　between,/ bi’twi:n/                                             ,prep.在…中间
　　beyond,/ bi’j?nd/                                             ,prep.在…的那边
　　Bible,/ ‘baibl/                                             ,n.基督教《圣经》
　　bicycle,/ ‘baisikl/                                             ,n.自行车，脚踏车
　　big,/ big/                                             ,a.大的，巨大的
　　bike,/ baik/                                             ,n.自行车 vi.骑自行车
　　bill,/ bil/                                             ,n.账单；招贴；票据
　　billion,/ ‘bilj?n/                                             ,num.万亿(英)
　　bind,/ baind/                                             ,vt.捆绑；包扎；装钉
　　biology,/ bai’?l?d?i/                                             ,n.生物学；生态学
　　bird,/ b?:d/                                             ,n.鸟，禽
　　birth,/ b?:θ/                                             ,n.分娩，出生；出身
　　birthday,/ ‘b?:θdi/                                             ,n.生日，诞生的日期
　　biscuit,/ ‘biskit/                                             ,n.(英)饼干；(美)软饼
　　bit,/ bit/                                             ,n.一点，一些，小片
　　bite,/ bait/                                             ,vt.咬，叮，螫；剌穿
　　bitter,/ ‘bit?/                                             ,a.痛苦的；严寒的
　　black,/ bl?k/                                             ,a.黑色的；黑暗的
　　blackboard,/ ‘bl?kb?:d/                                             ,n.黑板
　　blade,/ bleid/                                             ,n.刀刃，刀片；叶片
　　blame,/ bleim/                                             ,vt.责备，把…归咎于
　　blank,/ bl??k/                                             ,a.空白的 n.空白
　　blanket,/ ‘bl??kit/                                             ,n.毛毯，毯子，羊毛毯
　　blast,/ bla:st/                                             ,n.爆炸，冲击波 vt.炸
　　bleed,/ bli:d/                                             ,vi.出血，流血；泌脂
　　blend,/ blend/                                             ,vt.&vi.&n.混和
　　blind,/ blaind/                                             ,a.瞎的；盲目的
　　block,/ bl?k/                                             ,n.街区 vt.堵塞，拦阻
　　blood,/ blΛd/                                             ,n.血，血液；血统
　　bloom,/ blu:m/                                             ,n.花；开花，开花期
　　blow,/ bl?u/                                             ,vi.吹，吹动；吹响
　　blue,/ blu:/                                             ,a.蓝色的 n.蓝色
　　board,/ b?:d/                                             ,n.板 vt.上(船、车等)
　　boast,/ b?ust/                                             ,vi.自夸 vt.吹嘘
　　boat,/ b?ut/                                             ,n.小船，艇；渔船
　　body,/ ‘b?di/                                             ,n.身体；主体；尸体
　　b?il,/ b?il/                                             ,vi.沸腾；汽化vt.煮沸
　　bold,/ b?uld/                                             ,a.大胆的；冒失的
　　bolt,/ b?ult/                                             ,n.螺栓；插销 vt.闩门
　　bomb,/ b?m/                                             ,n.炸弹 vt.轰炸
　　bond,/ b?nd/                                             ,n.联结，联系；公债
　　bone,/ b?un/                                             ,n.骨，骨骼
　　book,/ buk/                                             ,n.书，书籍 vt.预定
　　boot,/ bu:t/                                             ,n.靴子，长统靴
　　border,/ ‘b?:d?/                                             ,n.边，边缘；边界
　　bore,/ b?:/                                             ,vt.使厌烦；钻，挖
　　born,/ b?:n/                                             ,a.天生的；出生的
　　borrow,/ ‘b?r?u/                                             ,vt.借，借用，借人
　　boss,/ b?s/                                             ,n.老板，上司 vt.指挥
　　both,/ b?uθ/                                             ,pron.两者(都)
　　bother,/ ‘b?e?/                                             ,vt.烦扰，迷惑 n.麻烦
　　bottle,/ ‘b?tl/                                             ,n.瓶，酒瓶；一瓶
　　bottom,/ ‘b?t?m/                                             ,n.底，底部，根基
　　bounce,/ bauns/                                             ,vi.反跳，弹起；跳起
　　bound,/ baund/                                             ,a.一定的；有义务的
　　boundary,/ ‘baund?ri/                                             ,n.分界线，办界
　　bow,/ bau/                                             ,n.弓；蝴蝶结；鞠躬
　　bowl,/ b?ul/                                             ,n.碗，钵；碗状物
　　box,/ b?ks/                                             ,vi. 拳击，打拳
　　brain,/ brein/                                             ,n.脑，脑髓；脑力
　　brake,/ breik/                                             ,n.闸，刹车 vi.制动
　　branch,/ bra:nt?/                                             ,n.树枝；分部；分科
　　brand,/ br?nd/                                             ,n.商品；烙印 vt.铭刻
　　brass,/ bra:s/                                             ,n.黄铜；黄铜器
　　brave,/ breiv/                                             ,a.勇敢的，华丽的
　　bread,/ bred/                                             ,n.面包；食物，粮食
　　breadth,/ brede/                                             ,n.宽度，幅度；幅面
　　break,/ breik/                                             ,vt.打破；损坏；破坏
　　breakfast,/ ‘brekf?st/                                             ,n.早饭，早餐
　　breast,/ brest/                                             ,n.乳房；胸脯，胸膛
　　breath,/ breθ/                                             ,n.气息，呼吸；气味
　　breathe,/ bri:e/                                             ,vi.呼吸 vt.呼吸
　　breed,/ bri:d/                                             ,n.品种 vt.使繁殖
　　breeze,/ bri:z/                                             ,n.微风，和风
　　brick,/ brik/                                             ,n.砖，砖块；砖状物
　　bride,/ braid/                                             ,n. 新娘
　　bridge,/ brid?/                                             ,n.桥，桥梁；桥牌
　　brief,/ bri:f/                                             ,a.简短的；短暂的
　　bright,/ brait/                                             ,a.明亮的；聪明的
　　brilliant,/ ‘brilj?nt/                                             ,a.光辉的；卓越的
　　bring,/ bri?/                                             ,vt.带来；引出；促使
　　British,/ ‘briti?/                                             ,a.不列颠的，英联邦的
　　broad,/ br?:d/                                             ,a.宽的，阔的；广泛的
　　broadcast,/ ‘br?:dka:st/                                             ,n.广播，播音
　　brother,/ ‘brΛe?/                                             ,n.兄弟；同事，同胞
　　brow,/ brau/                                             ,n.额；眉，眉毛
　　brown,/ braun/                                             ,n.褐色，棕色
　　brush,/ brΛ?/                                             ,n.刷子，毛刷；画笔
　　bubble,/ ‘bΛbl/                                             ,n.泡 vi.冒泡，沸腾
　　bucket,/ ‘bΛkit/                                             ,n.水桶；吊桶；铲斗
　　build,/ bild/                                             ,vt.建筑；建立；创立
　　building,/ ‘bildi?/                                             ,n.建筑物，大楼；建筑
　　bulb,/ bΛlb/                                             ,n.电灯泡；球状物
　　bulk,/ bΛlk/                                             ,n.物体，容积，大批
　　bullet,/ ‘bulit/                                             ,n.枪弹，子弹，弹丸
　　bundle,/ ‘bΛndl/                                             ,n.捆，包，束；包袱
　　burden,/ ‘b?:dn/                                             ,n.担子，重担；装载量
　　bureau,/ ‘bju?r?u/                                             ,n.局，司，处；社，所
　　burn,/ b?:n/                                             ,vi.烧，燃烧 n.烧伤
　　burst,/ b?:st/                                             ,vt.使爆裂 vi.&n.爆炸
　　bury,/ ‘beri/                                             ,vt.埋葬，葬；埋藏
　　bus,/ bΛs/                                             ,n.公共汽车
　　bush,/ bu?/                                             ,n.灌木，灌木丛，矮树
　　business,/ ‘biznis/                                             ,n.商业，生意；事务
　　busy,/ ‘bizi/                                             ,a.忙的，繁忙的
　　but,/ bΛt/                                             ,conj.但是，可是
　　butter,/ ‘bΛt?/                                             ,n.黄油；奶油
　　button,/ ‘bΛtn/                                             ,n.扣子；按钮 vt.扣紧
　　buy,/ bai/                                             ,vt.买，购买 vi.买
　　by,/ bai/                                             ,prep.在…旁；被，由
C,,
,,
cabbage,/ ‘k?bid?/                                             ,n.洋白菜，卷心菜
　　cabin,/ ‘k?bin/                                             ,n.小屋；船舱，机舱
　　cabinet,/ ‘k?binit/                                             ,n.橱，柜；内阁
　　cable,/ ‘keibl/                                             ,n.缆，索；电缆；电报
　　cafe,"/ ‘k?fei, k?’fei/                                             ",n.咖啡馆；小餐厅
　　cage,/ keid?/                                             ,n.笼；鸟笼，囚笼
　　cake,/ keik/                                             ,n.饼，糕，蛋糕
　　calculate,/ ‘k?lkjuleit/                                             ,vt.计算；估计；计划
　　calculator,/ ‘k?lkjuleit?/                                             ,n.计算器，计算者
　　calendar,/ ‘k?lind?/                                             ,n. 日历，历书；历法
　　call,/ k?:l/                                             ,vt.把…叫做；叫，喊
　　calm,/ ka:m/                                             ,a.静的，平静的
　　camel,/ ‘k?m?l/                                             ,n.骆驼
　　camera,/ ‘k?m?r?/                                             ,n.照相机，摄影机
　　camp,/ k?mp/                                             ,n.野营，营地，兵营
　　campaign,/ k?m’pein/                                             ,n.战役；运动
　　campus,/ ‘k?mp?s/                                             ,n.校园，学校场地
　　can,/ k?n/                                             ,aux.v.能，会，可能
　　can,/ k?n/                                             ,n.罐头，听头；容器
　　Canadian,/ k?’neidj?n/                                             ,a.加拿大的
　　canal,/ k?’n?l/                                             ,n.运河；沟渠；管
　　cancel,/ ‘k?ns?l/                                             ,vt.取消，撤消；删去
　　cancer,/ ‘k?ns?/                                             ,n.癌，癌症，肿瘤
　　candidate,/ ‘k?ndidit/                                             ,n.候选人；投考者
　　candle,/ ‘k?ndl/                                             ,n.蜡烛；烛形物；烛光
　　cap,/ k?p/                                             ,n.帽子，便帽；帽状物
　　capable,/ ‘keip?bl/                                             ,a.有能力的，有才能的
　　capacity,/ k?’p?siti/                                             ,n.容量；能力；能量
　　capital,/ ‘k?pitl/                                             ,n.资本，资金；首都
　　captain,/ ‘k?ptin/                                             ,n.陆军上尉；队长
　　capture,/ ‘k?pt??/                                             ,vt.捕获，俘获；夺得
　　car,/ ka:/                                             ,n.汽车，小汽车，轿车
　　carbon,/ ‘ka:b?n/                                             ,n.碳
　　card,/ ka:d/                                             ,n.卡，卡片，名片
　　care,/ ke?/                                             ,vi.关心，介意 n.小心
　　career,/ k?’ri?/                                             ,n.生涯，职业，经历
　　careful,/ ‘ke?ful/                                             ,a.仔细的；细致的
　　careless,/ ‘ke?lis/                                             ,a.粗心的，漫不经心的
　　cargo,/ ‘ka:g?u/                                             ,n.船货，货物
　　carpenter,/ ‘ka:pint?/                                             ,n.木工，木匠
　　carpet,/ ‘ka:pit/                                             ,n.地毯，毡毯，毛毯
　　carriage,/ ‘k?rid?/                                             ,n.客车厢；四轮马车
　　carrier,/ ‘k?ri?/                                             ,n.运输工具；运载工具
　　carry,/ ‘k?ri/                                             ,vt.携带；运载；传送
　　cart,/ ka:t/                                             ,n.二轮运货马车
　　case,/ keis/                                             ,n.情况；事实；病例
　　case,/ keis/                                             ,n.箱(子)，盒(子)，套
　　cash,/ k??/                                             ,n.现金，现款
　　cassette,/ ka:’set/                                             ,n.盒式录音带；盒子
　　cast,/ ka:st/                                             ,vt.投，扔，抛；浇铸
　　castle,/ ‘ka:sl/                                             ,n.城堡；巨大建筑物
　　casual,/ ‘k??ju?l/                                             ,a.偶然的；随便的
　　cat,/ k?t/                                             ,n.猫，猫科，猫皮
　　catalog,/ ‘k?t?l?g/                                             ,n.目录，目录册
　　catch,/ k?t?/                                             ,vt.捉住；赶上；领会
　　cattle,/ ‘k?tl/                                             ,n.牛；牲口，家畜
　　cause,/ k?:z/                                             ,n.原因，理由；事业
　　cave,/ keiv/                                             ,n.山洞，洞穴，窑洞
　　cease,/ si:s/                                             ,vi.&vi.&n.停止，停息
　　ceiling,/ ‘si:li?/                                             ,n. 天花板，顶蓬
　　celebrate,/ ‘selibreit/                                             ,vt.庆祝；歌颂，赞美
　　cell,/ sel/                                             ,n.细胞；小房间
　　cement,/ si’ment/                                             ,n.水泥；胶泥 vt.粘结
　　cent,/ sent/                                             ,n.分；分币；百
　　centimetre,/ ‘sentimi:t?/                                             ,n.公分，厘米
　　central,/ ‘sentr?l/                                             ,a.中心的；主要的
　　centre,/ ‘sent?/                                             ,n.中心；中枢 vt.集中
　　century,/ ‘sent?uri/                                             ,n.世纪，百年
　　ceremony,/ ‘serim?ni/                                             ,n.典礼，仪式；礼节
　　certain,/ ‘s?:t?n/                                             ,a.确实的；肯定的
　　certainly,/ ‘s?:t?nli/                                             ,ad.一定，必定；当然
　　certificate,/ s?’tifikit/                                             ,n.证书，证件，执照
　　chain,/ t?ein/                                             ,n.链，链条，项圈
　　chair,/ t?e?/                                             ,n.椅子；主席
　　chairman,/ ‘t?e?m?n/                                             ,n.主席；议长，会长
　　chalk,/ t??:k/                                             ,n.白垩；粉笔
　　challenge,/ ‘t??l?nd?/                                             ,n.挑战；要求，需要
　　chamber,/ ‘t?eimb?/                                             ,n.会议室；房间；腔
　　champion,/ ‘t??mpj?n/                                             ,n.冠军，得胜者
　　chance,/ t?a:ns/                                             ,n.机会，机遇；可能性
　　change,/ t?eind?/                                             ,n.改变，变化；零钱
　　channel,/ ‘t??nl/                                             ,n.海峡；渠道；频道
　　chapter,/ ‘t??pt?/                                             ,n.章，回，篇
　　character,/ ‘k?rikt?/                                             ,n.性格；特性；角色
　　characteristi,c/                                             ,k?rikt?’ristik/                                                                                               a.特有的 n.特性
　　charge,/ t?a:d?/                                             ,vt.索价；控告 n.费用
　　chart,/ t?a:t/                                             ,n.图，图表；海图
　　chase,/ t?eis/                                             ,n.追逐，追赶，追求
　　cheap,/ t?i:p/                                             ,a.廉价的；劣质的
　　cheat,/ t?i:t/                                             ,vt.骗取；哄 vi.行骗
　　check,/ t?ek/                                             ,vt.检查；制止 n.检查
　　cheek,/ t?i:k/                                             ,n.面颊，脸蛋
　　cheer,/ t?i?/                                             ,vt.使振作；欢呼
　　cheerful,/ ‘t?i?ful/                                             ,a.快乐的，愉快的
　　cheese,/ t?i:z/                                             ,n.乳酪，干酪
　　chemical,/ ‘kemikl/                                             ,a.化学的 n.化学制品
　　chemist,/ ‘kemist/                                             ,n.化学家；药剂师
　　chemistry,/ ‘kemistri/                                             ,n.化学
　　cheque,/ t?ek/                                             ,n.支票
　　chess,/ t?es/                                             ,n.棋；国际象棋
　　chest,/ t?est/                                             ,n.胸腔，胸膛；箱子
　　chew,/ t?u:/                                             ,vt.咀嚼，嚼碎
　　chicken,/ ‘t?ikin/                                             ,n.小鸡，小鸟；鸡肉
　　chief,/ t?i:f/                                             ,a.主要的；首席的
　　child,/ t?aild/                                             ,n.小孩，儿童；儿子
　　childhood,/ ‘t?aildhud/                                             ,n.童年，幼年；早期
　　chill,/ t?il/                                             ,vt.使变冷 n.寒冷
　　chimney,/ ‘t?imni/                                             ,n.烟囱，烟筒；玻璃罩
　　chin,/ t?in/                                             ,n.颏，下巴
　　China,/ ‘t?ain?/                                             ,n.中国
　　china,/ ‘t?ain?/                                             ,n.瓷器，瓷料
　　Chinese,/ ‘t?ai’ni:z/                                             ,a.中国的 n.中国人
　　chocolate,/ ‘t??k?lit/                                             ,n.巧克力；巧克力糖
　　ch?ice,/ t??is/                                             ,n.选择，抉择
　　choke,/ t??uk/                                             ,vt.使窒息；塞满
　　choose,/ t?u:z/                                             ,vt.选择，挑选；情愿
　　chop,/ t??p/                                             ,vt.砍，劈；切细vi.砍
　　Christian,/ ‘kristi?n/                                             ,n.基督教徒；信徒
