alter, 改变，改动，变更 
reject, 拒绝 
fatal, 致命的；重大的 
fate, 命运 
humble, 谦逊的；谦虚的 
illegal, 不合法的，非法的 
award, 授予，判给 n 奖品，奖金 
aware, 意识到 
column, 柱，圆柱；栏，专栏 
comedy, 喜剧 
dumb, 哑的；沉默的 
dump, 倾卸，倾倒 
deaf, 聋的；不愿听的 
decorate, 装饰，装璜 
principal, 最重要的 n 负责人，校长 
principle, 原则，原理 
prior, 优先的，在前的 
priority, 优先，重点 
prohibit, 禁止，不准 
remarkable, 值得注意的，异常的，非凡的 
remedy,/vt 补救，医治，治疗 
repetition, 重复，反复 
vain, 徒劳的，无效的 
undertake, 承担，着手做；同意，答应 
unique, 唯一的，独特的 
obstacle, 障碍（物），妨碍 
odd, 奇特的，古怪的；奇数的 
omit, 省略 
opponent, 敌手，对手 
opportunity, 机会，时机 
orchestra, 管弦乐队 
semester, 学期；半年 
semiconductor, 半导体 
seminar, 研讨会 
terminal, 末端的，极限的 n 终点 
territory, 领土 
approximate, 大概的，大约 v 近似 
arbitrary, 随意的，未断的 
architect, 建筑师 
architecture, 建筑学 
biology, 生物学 
geography, 地理（学） 
geology, 地质学 
geometry, 几何（学） 
arichmetic, 算术 
algebra, 代数 
entertainment, 娱乐；招待，款待 
enthusiasm, 热情，热心 
entry, 进入，入口处；参赛的人（或物） 
enviroment, 环境 
episode, 插曲，片段 
equation, 方程（式） 
restrain, 阻止，抑制 
restraint, 抑制，限制 
resume, （中断后）重新开始 
severe, 严重的 
sexual, 性的 
simplicity, 简单；朴素 
simplify, 简化 
sorrow, 悲哀，悲痛 
stuff, 原料，材料 vt 填进，塞满 
temporary, 暂时的，临时的 
temptation, 诱惑，引诱 
terror, 恐怖 
thrust, 挤，推，插 
treaty, 条约，协定 
arise, 产生，出现，发生；起身 
arouse, 引起，激起；唤醒 
burden, 重担，负荷 
bureau, 局，办事处 
marveous, 奇迹般的，惊人的 
massive, 大的，大量的，大块的 
mature, 成熟的 
maximum, 最高的，最大的 
minimum, 最低的，最小的 
nonsense, 胡说，冒失的行动 
nuclear, 核子的，核能的 
nucleus, 核 
retail,/v/ad 零售 
retain, 保留，保持 
restrict, 限制，约束 
sponsor, 发起者，主办者 vt 发起，主办，资助 
spur,/vt 刺激，激励 
triumph, 胜利，成功 
tuition, 学费 
twist, 使缠绕；转动；扭歪 
undergraduate, 大学肄业生 
universal, 普遍的，通用的；宇宙的 
universe, 宇宙 
via, 经由，经过，通过 
vibrate, 振动，摇摆 
virus, 病毒 
voluntary, 自愿的 
volunteer, 志愿者 v 自愿（做） 
vote, 选举 n 选票 
wagon, 四轮马车，铁路货车 
appoint, 任命，委派 
approach, 靠近，接近 n 途径，方式 
appropriate, 适当的 
bunch, 群，伙；束，串 
bundle, 捆，包，束 vt 收集，归拢 
ceremony, 典礼，仪式 
chaos, 混乱，紊乱 
discount, （价格）折扣 
display,/vt 陈列，展览 
equivalent, 相等的 a 相等物 
erect, 竖直的 v 建造，竖立 
fax,/vt 传真 
ferfile, 肥沃的；多产的 
fertilizer, 肥料 
grateful, 感激的 
gratitude, 感激 
horror, 恐怖 
horrible, 可怕的 
Internet, 国际互联网，因特网 
interpret, 翻译，解释 
interpretation, 解释，说明 
jungle, 丛林，密林 
knot, 结 vt 把打成结 
leak, 漏，渗出 
lean, 倾斜，倚，靠 
leap, 跳跃 
modify, 修改 
nylon, 尼龙 
onion, 洋葱 
powder, 粉末 
applicable, 可应用的，适当的 
applicant, 申请人 
breadth, 宽度 
conservation, 保存，保护 
conservative, 保守的 
parallel, 平行线；可相比拟的事物 
passion, 激情，热情 
passive, 被动的，消极的 
pat,/n 轻拍，轻打 
peak, 山峰，顶点 
phenomenon, 现象 
reluctant, 不情愿的，勉强的 
rely," (on ,upon)依赖，指望 "
relevant, 有关的，切题的 
reliable, 可靠的 
relief, 轻松，宽慰；减轻 
reputation, 名气，声誉 
rescue,/n 营救 
triangle, 三角（形） 
sequence, 连续；顺序 
shallow, 浅的 
shiver, 发抖 
shrug,/n 耸肩 
signature, 签名 
sincere, 诚挚的，真诚的 
utilify, 功用，效用 
utilise, 利用 
utter, 说出 a 完全的，彻底的 
variation, 变化，变动 
vehicle, 交通工具，车辆 
applause, 鼓掌，掌声 
appliance, 器具，器械 
consent, 准许，同意 vi (to)准许，同意 
conquer, 征服 
defect, 缺点，缺陷 
delicate, 易碎的；娇弱的；精美的 
evolve,演变 
evolution, 演变，进化 
frown,/n 皱眉 
frustrate, 使沮丧 
guarantee,/n 保证 
guilty, 内疚的；有罪的 
jealous, 妒忌的 
jeans, 牛仔裤 
liquor, 酒，烈性酒 
liter/litre, 升 
modest, 谦虚道 
molecule, 分子 
orbit, 轨道 v （绕）作轨道运行 
participate, (in)参与，参加 
particle, 微粒 
particularly, 特别，尤其 
respond, 回答，答复；反应 
response, 回答，答复；反应 
sensible, 明智的 
sensitive, 敏感到，灵敏的 
tremble, 颤抖 
tremendous, 巨大的；精彩的 
trend, 趋向，倾向 
trial, 审讯；试验 
apparent, 显然的，明白的 
appetite, 胃口；欲望 
deposit, 存款，定金 v存放，储蓄 
deputy, 副职，代表 
derive, 取得，得到；(from)起源于 
descend, 下来，下降 
missile, 导弹 
mission, 使命；代表团 
mist,薄雾 
noticeable, 显而易见到 
notify, 通知，告知 
notion, 概念；意图，想法 
resemble, 像，类似于 
reveal, 揭露 
revenue, 收入，岁入；税收 
shelter, 掩蔽处；住所 
shield, 防护物，盾 vt 保护，防护 
vital, 重要的；致命的，生命的 
vitally, 极度，非常；致命地 
urban, 城市的 
urge, 鼓励，激励 
urgent, 急迫的，紧急得 
usage, 使用，用法 
violence, 强力，暴力 
violent, 强暴的 
violet, 紫色的 
weed, 杂草，野草 
welfare, 福利 
whatsoever, （用于否定句）任何 
whereas, 然而，但是，尽管 
essential, 必不可少的；本质的 
estimate,/vt 估计，估量 
执行uate, 评估，评价 
exceed, 超过，越出 
exceedingly, 非常，极其 
exclaim, 呼喊，大声说 
exclude, 把排斥在外，不包括 
exclusive, 读有的，排他的 
excursion, 远足 
flash, 闪光，闪耀 
flee, 逃走 
flexible, 易弯曲的 
flock, 羊群，（鸟兽等）一群；一伙人 
hardware, 五金器具 
harmony, 和谐，融洽 
haste, 急速，急忙 
hatred, 憎恶，憎恨 
incident, 事件，事变 
index, 索引，标志 
infant, 婴儿 
infect, 传染 
inferior, 劣等的，次的，下级的 
infinite, 无限的 
ingredient, 组成部分 
inhabitant, 居民 
jail, 监狱 
jam, 果酱；拥挤，堵塞 
jewel, 宝石 
joint,连接的；共同的 
junior, 年少的；资历较浅的 
laser, 激光 
launch, 发动，发起 
luxury, 奢侈；奢侈品 
magnet, 磁铁，磁体 
male, 男性的，雄的 
female, 女性的，雌的 
manual, 用手的，手工做的 n 手册 
manufacture,/n 制造，加工 
marine, 海的；海产的 
mutual, 相互的 
naked, 裸露的 
negative, 否定的，消极的 
neglect, 忽视，忽略 
origin, 起源，出身 
oval, 椭圆形的 n 椭圆形 
outset, 开始，开端 
presumably, 大概，可能 
prevail, 流行，盛行 
quit, 停止 
quotation, 引文，引语 
recreation, 娱乐活动 
recruit, 招募，吸收（新成员） 
rival, 竞争对手，敌手 
shuttle, 梭子；航天飞机 
skim, 搬（去），掠过；浏览 
sketch, 草图；梗概 
slender, 苗条的，修长的 
theme, 主题 
textile, 纺织品 
tropical, 热带的，炎热的 
kneel, 跪 
label, 标签 
merchant, 商人 
mere, 仅仅的，只不过的；纯粹的 
nuisance, 令人讨厌的东西（或人） 
numerrous, 众多的，许多的 
parade, 游行 v 列队行进 
pants[pl,] n 长裤；内裤 
partial, 部分的 
passport, 护照 
prescribe, 开药，吩咐采用疗法 
primitive, 原始的，早期的 
ridge, 脊，山脊，埂 
ridiculous, 可笑的，荒漠的 
ridid, 严格的；僵硬的 
withstand, 经受，承受 
witness, 目击者；证据 vt 注意到；证明 
withdraw, 收回，撤销 
slippery, 滑的 
smash, 粉碎，打烂 
snap,/vt 折断，拉断；快照 
software, 软件 
solar, 太阳的 
lynar, 月的，月球的 
submerge, 潜入水中 
submit,(to)屈服，听从 
timber, 木材，原木 
tissue, 组织；薄纱，手巾纸 
title, 题目，标题 
tone, 语气，音调 
drift, 漂，漂流 
drip, 滴 
durable, 耐用的，持久的 
duration, 持续，持续期间 
dusk, 黄昏，薄暮 
leather, 皮革 
legislation, 法律，法规；立法 
leisure, 闲暇；悠闲 
loose, 松的，宽松的 
loosen, 解开，放松 
tarnest, 认真的，诚挚的 
earthquake, 地震 
echo, 回音，回声 
elaborate, 精心设计的，复杂的 
elastic, 橡皮圈（带） a 有弹性的 
elbow, 肘 
electron, 电子 
volcano, 火山 
volume, 卷，册；体积，容量 
fatigue, 疲劳，劳累 
faulty, 有错误的，有缺点的 
favorable, 称赞道；有利的，顺利的 
favorite, 特别受喜欢的 n 喜爱的人或物 
gallery, 画廊 
gallon, 加仑 
gap, 间隔，差距 
garbage, 垃圾，废物 
gaze, 凝视，注视 
gear, 齿轮，传动装置 
gene, 基因 
lest, 唯恐，免得 
liable, 可能的，大概的； (to)易于的 
liberal, 自由得 
liberty, 自由 
licence/license, 许可证，执照 
moisture, 潮湿 
motivate, 激励，激发 
motive, 动机，目的 
generate, 生成，产生（光、热、电等） 
genius, 天才，天赋 
genuine, 真的，真诚的 
gasoline, 汽油 
germ, 微生物，细菌 
gesture, 姿势，手势 
giant, 巨大的 n 巨人，巨物 
glimpse, 一瞥，一看 
glory, 光荣，荣誉 
glorious, 光荣的，极好的 
golf, 高尔夫球运动 
hydrogen, 氢 
oxygen, 氧 
hostile, 敌对的，敌意大 
household, 家庭，户 
hook, 钩 
holy, 神圣地，圣洁的 
hint, 暗示，示意 
hestiate, 犹豫 
highlight, 强调，突出 
hence, 因此，所以；今后，从此 
herd, 兽群，牧群
