mercy,"n.仁慈,怜悯,宽恕"
misery,"n.痛苦,悲惨,不幸"
misfortune,"n.不幸,灾祸,灾难"
mislead,"v.把…带错路,使误入岐途"
miss,"n.小姐 v. 思念,未击中,错过,漏掉,逃脱"
missile,"n.导弹,发射物"
missing,"a.漏掉的,失去的,失踪的"
mission,"n.使命,任务;使团,代表团"
missionary,a.教会的，传教(士)的 n.传教士
mist,"n.薄雾,霭"
mistake,"n.错误,过失,误解 v.弄错;(for)把…误认为"
mistress,"n.女主人;主妇;情妇,情人"
misunderstand,"v.误解,误会"
mix,v.使混合;混淆
mixture,"n.混合;混合物,混合剂"
moan,"n.呻吟声,悲叹声 v.呻吟,抱怨,悲叹"
mob,n.乌合之众(尤指暴力者) vi.围攻，聚众闹事
mobile,"a.可动的,活动的,运动的"
mobilize,"v.(mobilise)动员,赋予可动性"
mock,"v.嘲笑 a.假的,模拟的 n.(常pl.)模拟考试"
mode,"n.方式,式样"
model,"n.样式,型;模范;模型,原型;模特 v.模仿"
moderate,"a.有节制的,中等的,适度的,温和的,稳健的"
modern,"a.现代的,近代的,新式的"
modernization,n.(modernisation)现代化
modest,"a.谦虚的,有节制的"
modify,"v.更改,修改,修饰"
module,n.组件，模块，模件；(航天器的)舱
moist,"a.潮湿的,湿润的,多雨的"
moisture,"n.潮湿,湿气,湿度"
molecule,n.分子
moment,"n.片刻,瞬间,时刻"
momentum,"n.动力,要素"
monarch,n.帝王，君主，最高统治者
Monday,n.星期一
monetary,"a.金融的,货币的"
money,"n.货币,钱"
monitor,"n.班长;监听器,监视器 v.监控,监测"
monkey,n.猴子
monopoly,"n.垄断,专卖,专利权,专利事业"
monotonous,"a.单调的,无变化的"
monster,"n.怪物,妖怪,畸形的动植物"
month,"n.月,月份"
monthly,"a.每月的 ad.每月一次,按月 n.月刊"
monument,"n.纪念碑,纪念馆,遗迹,不朽的业绩"
mood,"n.心情,情绪;语气"
moon,n.(加the)月球，月亮；卫星
moral,"a.道德(上)的,精神上的 n.寓意,教育意义"
morality,"n.道德,美德"
more,a.更多的 n.更多的人(或东西) ad.更，更多
moreover,"conj./ad.再者,加之,而且"
morning,n.早晨，上午
mortal,a.致命的;终有一死的;人世间的 n.凡人
mortgage,n./v.抵押(借款)
mosaic,n.马赛克;镶嵌体
mosquito,n.蚊子
moss,"n.苔,藓,地衣"
most,a.最多的；大多数的 ad.最；极其 n.大多数
mostly,"ad.几乎全部地;主要地,大部分,基本上"
motel,n.(附有停车场的)汽车旅馆
mother,n.母亲
motion,"n.运动,动;提议,动议 v.提议,动议"
motivate,vt.促动；激励，鼓励，作为…的动机
motive,"n.动机,目的 a.发动的,运动的"
motor,"n.发动机,电动机"
mould,n.(mold)模子，铸型 v.浇铸，造型，塑造
mount,"v.登上;安装 n.支架,底板;(用于山名前)山峰"
mountain,n.山
mourn,"v.哀悼,忧伤"
mouse,"n.(pl.mice)鼠,耗子"
mouth,"n.口,嘴"
move,"v.移动,迁移;活动;感动 n.移动,活动,行动"
movement,"n.运动,活动;移动,迁移"
movie,"n.电影,电影院"
much,a.多的，大量的 ad.十分，非常；到极大程度
mud,n.泥，泥浆 v.弄脏，使沾污泥
mug,n.(有柄的)大茶杯
multiple,"a.多样的,多重的 n.倍数 v.成倍增加"
multiply,"v.(by)乘,使相乘;倍增,增加,繁殖"
multitude,"n.众多,大量"
municipal,"a.市的,市政的;市立的;地方性的,地方自治的"
murder,"v./n.谋杀,凶杀"
murmur,"v./n.小声说(话);小声抱怨,咕哝"
muscle,"n.肌肉,体力"
muscular,a.肌肉的;肌肉发达的;强健的
museum,"n.博物馆,展览馆"
mushroom,"n.蘑菇 vt.迅速生长,迅速增加,采蘑菇"
music,n.音乐，乐曲，乐谱
musical,a.音乐的;有音乐才能的 n.音乐片
musician,"n.音乐家,乐师"
must,aux.&v.必须；很可能；一定要 n.必须做的事
mute,"a.哑的,缄默的n.哑巴;弱音器v.减弱…的声音"
mutter,"n.喃喃而语,小声低语;抱怨 v.低声说,抱怨"
mutton,n.羊肉
mutual,a.相互的，彼此的；共同的，共有的
my,pron.(I的所有格)我的
myself,pron.[反身代词]我自己；我亲自
mysterious,"a.神秘的,可疑的,难理解的"
mystery,"n.神秘,神秘的事物;神秘小说,侦探小说"
myth,n.神话;虚构的理论
nail,"n.指甲,爪;钉 v.将…钉牢,钉住"
naive,a.天真的
naked,"a.裸体的,无遮敝的,无掩饰的"
name,n.名字(称/声/义) vt.给…取名；列举；提名
namely,"ad.即,也就是"
nap,"n.小睡,打盹"
napkin,"n.餐巾,餐巾纸,<英>尿布"
narrative,a.叙述性的 n.叙述
narrow,"a.狭窄的,狭的,狭隘的"
nasty,"a.肮脏的,卑劣的,下流的;令人厌恶的"
nation,"n.民族,国家"
national,"a.民族的,国家的,国立的"
nationality,"n.国籍,民族"
native,"a.本地的,本国的;天生的 n.本地人,本国人"
natural,"a.正常的;自然界的,天然的,天赋的,固有的"
nature,"n.自然界,大自然;性质,本性,天性"
naughty,"a.顽皮的,淘气的"
naval,"n.海军的,军舰的"
navigation,"n.航海,航空;导航,领航"
navy,n.海军
near,a.近的，接近的；亲近的 prep.靠近 ad.接近
nearby,a.附近的 ad.在附近 prep.在…附近
nearly,"ad.差不多,几乎"
neat,"a.整洁的,干净的,优美的,精致的"
necessary,"a.必需的,必要的;必然的 n.必需品"
necessitate,"v.使成为必要,需要"
necessity,"n.必要性,需要;必然性;(pl.)必需品"
neck,n.颈脖
necklace,n.项链，项圈
need,aux.v./v.需要；必须 n.需要；贫困，困窘
needle,"n.针,指针,针状物"
negative,"a.否定的,消极的,阴性的 n.负数;(摄影)底片"
neglect,"v./n.忽视;疏忽,漏做,忽略"
negligible,a.可忽略不计的，微不足道的
negotiate,v.商订；谈判，洽谈，交涉
Negro,n.黑人 a.黑人的
neighbor,n.(neighbour)邻居
neighborhood,"n.(neighbourhood)邻居;四邻,街道"
neither,a.两者都不 pron.两者都不 ad.也不
nephew,"n.侄子,外甥"
nerve,"n.神经;勇敢,胆量"
nervous,"a.神经的;神经过敏的,紧张不安的"
nest,"n.窝,巢 v.筑巢"
net,"n.网,网状物 v.用网捕,使落网 a.纯净的"
network,"n.网状物;广播网,电视网;网络"
neutral,"a.中立的;中性的,中和的"
never,ad.永不，从不，决不；从来没有；不，没有
nevertheless,"conj.(nonetheless)然而,不过 ad.仍然,不过"
new,a.新(近)的；新来的；不熟悉的；没经验的
news,n.新闻，消息；新闻报道，新闻广播
newspaper,n.报纸
next,a.紧接的，其次的；贴近的 ad.其次；居后
nice,a.美好的，令人愉快的；友好的，亲切的
nickel,n.镍;镍币;五美分
nickname,n.绰号，浑名vt.给…起绰号
niece,"n.侄女,甥女"
night,n.夜间；夜；晚(上)
nightmare,n.恶梦；可怕的事物，无法摆脱的恐惧
nine,num.九 pron./ad.九(个，只...)
nineteen,num./a.十九 pron.十九(个，只...)
ninety,num.九十，九十个
nitrogen,n.[化]氮
no,ad.不是，不 a.没有的；不允许 n.不，拒绝
noble,"a.高尚的;贵族的,高贵的 n.贵族"
nobody,"pron.谁也不,无人 n.小人物"
nod,"v.点(头),点头招呼 n.点头招呼;打盹,瞌睡"
noise,"n.喧闹声,噪声,吵嚷声"
noisy,"a.吵闹的,喧闹的"
nominal,"a.名义上的;(金额,租金)微不足道的"
nominate,"v.提名,任命"
none,pron.没有任何人(东西)；都不 ad.一点也不
nonetheless,"ad.[nevertheless]虽然如此, 但是"
nonsense,"n.胡说,废话"
noodle,n.(常用复数)面条
noon,n.中午，正午
nor,conj.／ad.也不，也没有
norm,"n.准则,规范,准则,平均数"
normal,"a.正常的,普通的;正规的,标准的"
normalization,"n.(normalisation)正常化,标准化"
north,"n.北,北方 a.北方的,北部 ad.向北方,在北方"
northeast,"n.东北 a.东北方的 ad.向东北,在东北"
northern,"a.北方的,北部的"
northwest,"n.西北方,西北部a.西北的ad.向西北,在西北"
nose,"n.鼻子;(飞机,船等的)前端,突出部分"
not,ad.不，不是，不会；没有
notable,"n.值得注意的,显著的,著名的"
note,"n.笔记;按语,注释;钞票,纸币v.记下,摘下"
notebook,n.笔记本
nothing,n.没有东西；什么也没有；无关紧要的人或事
notice,"n.通知,通告,布告;注意,认识 v.注意到,注意"
noticeable,"a.显而易见的,值得注意的,重要的"
notify,"v.通知,告知,报告"
notion,"n.概念,想法,意念,看法,观点"
notorious,"a.臭名昭著的,声名狼藉的"
notwithstanding,prep./ad./conj.尽管
noun,n.名词
nourish,"v.提供养分,养育,怀有(希望,仇恨等)"
novel,"n.(长篇)小说 a.新奇的,新颖的"
novelty,"n.新奇,新颖,新奇的事物"
November,n.十一月
now,ad.现在，如今，目前；当时，于是，然后
nowadays,"ad.现今,现在"
nowhere,"ad.任何地方都不,没有地方"
nuclear,"a.核心的,中心的;原子核的,核能的"
nucleus,"n.(pl.nuclei)核,核心,原子核"
nuisance,n.讨厌的人(或东西);麻烦事
numb,"a.麻木的,失去感觉的 v.使麻木"
number,"n.数,数字,数量,号码,一群 v.共计,编号"
numerical,a.数字的，用数字表示的，数值的
numerous,"a.众多的,许多的,大批的"
nurse,"n.护士,保姆 v.护理,看护"
nursery,n.托儿所
nurture,"n./v.养育,教育,教养 n.营养品v.给与营养物"
nut,"n.坚果;螺母,螺帽"
nutrition,"n.营养,营养学"
nylon,n.尼龙
oak,"n.橡树,橡木 a.橡木的"
oar,"n.桨,橹 v.划,划动,划行"
oath,"n.誓言,誓约,诅咒"
obedience,"n.服从,顺从"
obedient,"a.服从的,顺从的"
obey,"v.服从, 顺从"
object,"n.物体;客体,对象;目标;宾语 v.(to)反对"
objection,"n.(to)反对,异议,不喜欢,反对的理由"
objective,"n.目标,目的 a.客观的,真实的"
obligation,"n.义务,责任"
oblige,"v.强迫,迫使;责成;(使)感激,施恩于"
obscure,"a.暗的,朦胧的;模糊的,晦涩的"
observation,"n.观察,观测,监视;(pl.)观察资料;观察力"
observe,"v.观察,观测,注意到,监视,遵守,评述,说"
obsession,"n.迷住, 困扰"
obsolete,"a.已废弃的,过时的"
obstacle,"n.障碍(物),妨碍,阻碍,干扰"
obstruct,"v.阻隔,阻塞(道路、通道等)n.阻碍物,障碍物"
obstruction,"n.妨碍,障碍物"
obtain,"v.获得,得到"
obvious,"a.明显的,显而易见的"
occasion,"n.场合,时节,时刻;时机,机会"
occasional,"a.偶然的,非经常的,特殊场合的;临时的"
occupation,"n.占领,占据;占用;职业,工作"
occupy,"v.占,占用;占据,占领;使忙碌,使从事"
occur,"v.发生,出现;存在;想起,想到"
occurrence,"n.发生,出现;事件,事故,发生的事情"
ocean,n.海洋
o'clock,ad.(…)点钟(与1至12数字连用)
October,n.十月
odd,a.奇数的;奇怪的;单只的;临时的;带零头的
odds,"n.不平等,差异;机会"
odor,"n.(odour)气味,香味,臭味,名声"
of,prep.…的；在…之中；用…制的；关于…的
off,ad.离开；在远处；脱开 prep.从，从...离开
offend,"v.犯罪,冒犯,违反,得罪,使...不愉快"
offensive,"a.冒犯的,攻击的 n.攻势,进攻"
offer,"v.提供,提议,出现 n.出价,提议,意图"
office,"n.办公室,办事处;职务,公职;部,局,处"
officer,"n.官员,办事员;工作人员;军官"
official,"n.官员,行政官员 a.官方的,官方的,正式的"
offset,"n.分支,补偿 v.抵消,补偿"
offspring,"n.子孙,后代;结果,产物"
often,ad.常常，经常，通常
oil,n.油，石油 v.给…加润滑油；涂油，上油
okay,a.(okey，OK，O.K.)好，行，不错 n.同意
old,a.年老的；…岁的；长时间的，老的；过去的
omit,"v.省略,删去;遗漏,忽略"
on,a.连接上 prep.在…上；靠近 ad.向前，继续
once,ad.一次，曾经 conj.一(旦)…就… n.一次
one,num.一 pron.一个(只)(表示代替可数的东西)
oneself,pron.[反身代词]自己；亲自，本人
onion,n.洋葱
only,ad.仅仅，只不过 a.唯一的 conj.可是，不过
onto,prep.在...上面；到...上面
opaque,"a.不透明(光)的;难理解的,晦涩的"
open,"n.公开,户外 a.开的,开放的 v.开"
opening,"n.开,开放,开始,空缺,机会 a.开始的,开幕的"
opera,n.歌剧
operate,"v.操作,运转,开动,起作用,动手术"
operation,"n.运转,开动,操作,手术,运算,经营"
operational,"a.操作的,运转的,起作用的,经营的"
operator,"n.操作人员,(电话)接线员"
opinion,"n.意见,看法,主张"
opponent,"n.对手,反对者,敌手 a.对立的,对抗的"
opportunity,n.机会
oppose,"v.反对,使对立,使对抗,使相对"
opposite,"a.对面的,相对的,相反的 n.对立面"
oppress,"v.压迫,压制"
opt,vi.抉择，选择
optical,"a.眼的,视力的;光学的"
optimistic,a.乐观主义的
optimum,a.最适宜的 n.最适宜(条件)
option,"n.选择(权),[商]选择买卖的特权"
optional,"a.可以任选的,随意的,非强制的"
or,conj.或，或者(表示选择)；即，大约；否则
oral,a.口头的
orange,"n.柑,桔,橙"
orbit,n.轨道 v.(使)沿轨道行
orchard,"n.果园,果园里的全部果树,<美俚>棒球场"
orchestra,n.管弦乐队
order,"n.命令;次序;整齐;定货单;等级 v.定制,订购"
orderly,"a.整齐的,有秩序的,有条理的 n.勤务兵"
ordinary,"a.普通的,平凡的,平常的;平庸的"
ore,"n.矿石,矿砂"
organ,"n.器官;机构,机关;风琴"
organic,a.器官的;有机的;有机体的
organism,n.生物，有机体
organization,"n.(organization)组织,团体,机构"
organize,"v.(organise)组织,编组"
orient,"n.东方,亚洲 v.使朝东,为…定位,使适应"
oriental,"a.东方的,东方诸国的 n.东方人"
orientation,"n.方向,方位,定位,倾向性,向东方"
origin,"n.起源,由来;出身,来历"
original,"a.最初的,原文的;新颖的 n.原物,原作,原文"
originate,"v.(in,from)起源,发生;首创,创造"
ornament,"v.装饰,美化 n.装饰,装饰物"
orphan,n.孤儿
orthodox,"a.传统的,正统的,习惯的,保守的,东正教的"
other,a.另外的，其他的 n./pron.另一个人(或事)
otherwise,"ad.另样,用别的方法;在其他方面conj.要不然"
ought,"aux.应该(使用时,之后应接to,再接动词原形)"
ounce,"n.盎司,英两"
our,pron.[we的所有格]我们的
ours,pron.[we的物主代词]我们的(所有物)
ourselves,pron.[反身代词]我们自己；我们亲自
out,ad.出去；离家；突出来 a.外面的，往外去的
outbreak,"n.(战争,愤怒,火灾等的)爆发,(疾病的)发作"
outcome,"n.结果,成果"
outdoor,"a.室外的,野外的"
outer,"a.外部的,外面的,外层的"
outfit,"n.用具,机构,全套装配 v.配备,(得到)装备"
outing,"n.外出,旅行,散步"
outlet,"n.出路,出口;销路,市场;发泄方法;电源插座"
outline,"n.轮廓,略图;大纲,梗概 v.概述,略述"
outlook,"n.景色,风光;观点,见解;展望,前景"
output,"n.产量,输出(量)"
outrage,"n.暴行,侮辱,愤怒 v.凌辱,引起…义愤,强奸"
outset,"n.开始,开端"
outside,ad.向外面 n.外部 a.外部的 prep.在…外
outskirts,n.郊区
outstanding,"a.突出的,显著的,杰出的"
outward,"a.外面的,公开的,向外的ad.向外,在外n.外表"
oval,a.卵形的，椭圆形的 n.卵形，椭圆形
oven,"n.炉,灶,灶箱"
over,ad.在上方；遍及地 prep.在的上方 a.结束的
overall,"a.全面的,综合的 n.(pl.)(套头)工作服"
overcoat,"n.外衣,大衣"
overcome,"v.战胜,克服"
overflow,"v.(使)外溢,(使)溢出;溢出,流出,漫出"
overhead,a.在头顶上的;架空的 ad.在头顶上
overhear,"v.偶然听到,从旁听到"
overlap,"v.重叠,与…交叠 n.重叠"
overlook,"v.看漏,忽略;俯瞰,眺望;宽容,放任"
overnight,"a.通宵的,晚上的 ad.在昨夜,一夜工夫,突然"
overpass,"n.过街天桥 vt.胜过,通过,忽视"
overseas,"a.外国的,海外的 ad.在海外"
overtake,"v.追上,超过,突然降临,压倒"
overthrow,"v./n.推翻,颠覆"
overtime,"a.超时的,加班的 ad.加班"
overturn,"n.倾覆,破灭,革命 v.打翻,推翻,颠倒,翻倒"
overwhelm,"v.淹没,覆没,压倒,制服,使不知所措"
overwhelming,"a.势不可挡的,压倒的"
owe,"v.欠(债等),应向…付出,归功于,得感谢"
owing,"a.欠的,未付的"
owl,n.猫头鹰
own,a.(用在所有格后面，加强语气)自己的
owner,"n.物主,所有者"
ownership,"n.所有(权),所有制"
ox,"n.牛,公牛"
oxide,n.[化]氧化物
oxygen,"n.氧,氧气"
ozone,n.臭氧；(海岸等的)新鲜空气
pace,"n.步,步伐,步调,速度 v.踱步,用步测"
pack,"v.捆扎,打包;塞满,挤满n.包裹,背包,一群/副"
package,"n.包装,包裹,箱,包装费,标准部件,成套设备"
packet,"n.小包裹,小捆;盒;一捆,一扎;邮船,班轮"
pact,"n.合同,条约,公约,协定"
pad,"n.垫,衬垫;便笺簿 v.加上衬垫"
paddle,n.桨 v.用桨划
page,"n.页,记录,事件,专栏 vt.给...标页码"
pail,"n.桶, 提桶; 一桶的量"
pain,"n.痛,痛苦;(pl.)努力,劳苦 vt.使痛苦"
painful,"a.疼痛的,使痛苦的,费力[心]的,棘手的"
paint,"n.油漆,颜料 v.油漆;涂,涂漆;画;描绘,描述"
painter,"n.漆工,画家"
painting,"n.上油漆,着色;绘画;油画;画法"
pair,"n.一对,一双;一副;夫妇 v.配对,成对"
palace,"n.宫,宫殿"
pale,"a.苍白的,灰白的;浅的,暗淡的"
palm,"n.手掌,掌状物,棕榈vt.与…握手,藏…于掌中"
pamphlet,n.小册子
pan,"n.平底锅,盘子,面板"
panda,n.熊猫
panel,"n.面,板;控制板,仪表盘;专门小组"
panic,"n./a.恐慌(的),惊慌(的) vt.使惊慌,使害怕"
panorama,"n.全景,全景画,全景摄影,全景照片[装置]"
pant,"n.喘气 v.喘,气喘吁吁地说"
pants,"n.裤子, 短裤"
paper,n.纸；纸制品；报纸；(pl)文件；试卷；论文
paperback,n.平装本，简装本
parachute,n.降落伞 v.跳伞
parade,"n./v.游行,夸耀n.检阅,阅兵式v.使列队行进"
paradigm,n.典范; 范例; 示例
paradox,"n.似非而是的话,自相矛盾的话,反论"
paragraph,"n.段,节;小新闻,短评"
parallel,"a.平行的,相同的,类似的n.平行线,类似,对比"
paralyze,v.(paralyse)使瘫痪(麻痹);使丧失作用
parameter,"n.参数,参量"
parasite,"n.寄生虫,食客"
parcel,"n.包裹,邮包,部分 v.打包,捆扎,分配"
pardon,"n.原谅,宽恕;请再说一遍 v.原谅,饶恕,赦免"
parent,"n.父母,母亲;(pl.)双亲;父母"
park,"n.公园,停车场,运动场 v.停放(汽车等),寄放"
parliament,"n.国会,议会"
part,"n.部分,角色,一方,零件,地区,部,篇v.使分开"
partial,"a.部分的,不完全的;偏袒的,不公平的,偏爱的"
participant,"n.参加者,参与者 a.有份的,参与的"
participate,"v.(in)参与,参加;分享,分担;含有,带有"
particle,"n.粒子,微粒;极小量;小品词,虚词"
particular,"a.特殊的,苛求的,个别的n.详情,细节,特色"
partly,"ad.部分地,不完全地,在一定程度上"
partner,"n.合作者,合伙人,合股人,伙伴,舞伴,配偶"
party,"n.聚会,政党,当事人 v.举行(参加)社交聚会"
pass,v.经/通/穿/度过；传递 n.通行证；考试及格
passage,"n.通过,经过;通路,走廊;(一)段落,(一)节"
passenger,"n.乘客,旅客"
passer-by,n.(pl.passers-by)过路人
passion,"n.热情,激情,爱好;激怒;强烈感情"
passive,"a.被动的,消极的"
passport,"n.护照,达到某种目的的手段"
past,a.过去的 ad.过 n.过去，昔日 prep.(经)过
paste,"n.糊,浆糊 v.粘,贴"
pastime,"n.消遣,娱乐"
pasture,"n.牧草地,牧场"
pat,"v./n.轻拍,轻打,抚摸"
patch,"n.补丁,斑点,碎片小块 v.补,修补,掩饰"
patent,"a.专利的,特许的n.专利(权、品)v.批准专利"
path,"n.小路,小径;路线,轨道"
pathetic,"a.可怜的, 悲惨的"
patience,"n.耐心,忍耐"
patient,"a.有耐心的,能忍耐的 n.病人,患者"
patriotic,a.爱国的
patrol,v.巡逻，巡查 n.巡逻，巡查；巡逻队
patron,n.赞助人；资助人；老顾客，老主顾
pattern,"n.模式,式样;图案,图样 v.仿制,模仿"
pause,"v./n.中止,暂停"
pave,"v.铺砌,铺(路)"
pavement,n.人行道
paw,n.爪
pay,"v.付款,付出代价,给予注意 n.工资,薪金"
payment,"n.支付,付款额"
pea,n.豌豆
peace,"n.和平;平静,安宁"
peaceful,"a.和平的,平静的,安宁的,爱好和平的"
peach,"n.桃,桃树"
peak,"n.山顶,最高点;峰,山峰 a.高峰的,最高的"
peanut,n.花生
pear,"n.梨子,梨树"
pearl,n.珍珠
peasant,n.(不用于英国或美国)小农;佃农;农民
pebble,n.卵石
peculiar,"a.古怪的,异常的;特殊的,特有的"
pedal,"n.踏板 v.踩踏板,骑自行车"
pedestrian,"n.步行者 a.徒步的,呆板的,通俗的"
peel,"v.削皮,剥皮 n.果皮"
peep,"v.偷看,窥视"
peer,"n.同辈,同等地位的人;贵族 v.凝视,隐约出现"
pen,"n.钢笔,圆珠笔,作家,围栏 vt.写,关入栏中"
penalty,"n.处罚,刑罚,惩罚,罚金"
pencil,n.铅笔 vt.用铅笔写
pendulum,"n.摆,钟摆"
penetrate,"v.穿过,渗入,看穿"
peninsula,n.半岛
penny,"n.便士,美分"
pension,"n.养老金,年金"
people,n.人们，人；[the-]人民；一国人民，民族
pepper,"n.胡椒粉,胡椒;辣椒"
per,"prep.每;经,由"
perceive,"v.察觉,感知;理解,领悟"
percent,n.(per cent)百分之...的
percentage,"n.百分数,百分率,百分比"
perfect,a.完善的;完全的;(语法)完成的 v.使完美
perfection,"n.尽善尽美,完美"
perform,"v.履行,执行;表演,演出;完成(事业)"
performance,"n.履行,执行;表演,演出;性能,特性;成绩"
perfume,"n.香味,芳香;香料 v.使发香,洒香水于"
perhaps,"ad.也许,大概,恐怕"
period,"n.时期,时代;学时;周期,一段时间;句点"
periodical,"n.期刊,杂志 a.周期的,定期的"
perish,"v.丧生;凋谢;毁灭,消亡"
permanent,"a.永久的,持久的"
permeate,v.弥漫，遍布，散布；渗入，渗透
permission,"n.允许,同意"
permit,"v.许可,允许 n.许可证,执照"
perpetual,"a.永久的,永恒的,长期的"
perplex,"v.使困惑,使费解,使复杂化"
persecute,v.迫害
persevere,"v.坚持,坚忍,不屈不挠"
persist,"v.(in)坚持,持续"
person,n.人，喜欢(或适应)..的人；人物；人称
personal,"a.个人的,私人的;亲自的;身体的,人身的"
personality,"n.人格,个性"
personnel,"n.全体人员,全体职员;人事(部门)"
perspective,"n.透视画法,透视图;远景,前途;观点,看法"
persuade,"v.说服,劝说;(of)使相信"
persuasion,"n.说服,说服力"
pessimistic,a.悲观(主义)的
pest,n.害虫
pet,"n.爱畜,宠儿 a.宠爱的,表示亲昵的"
petition,"n.请愿书,申请书 v.(向…)请愿,正式请求"
petrol,n.汽油
petroleum,n.石油
petty,"a.小(器、规模)的,不重要的,细微的,卑鄙的"
pharmacy,"n.药房,药剂学,制药业,配药业,一批备用药品"
phase,"n.阶段,状态,时期;相,相位"
phenomenon,"n.现象,稀有现象,珍品,奇迹,杰出人才"
philosopher,"n.哲学家,哲人"
philosophy,"n.哲学,哲理,人生观,价值观,世界观"
phone,"n.(telephone)电话,电话机,耳机 v.打电话"
photo,n.(photograph)照片
phrase,"n.短语,词语,习语"
physical,"a.物质的;肉体的,身体的;自然科学的,物理的"
physician,n.内科医生
physicist,n.物理学家
physics,n.物理(学)
physiological,"a.生理学的, 生理学上的"
piano,n.钢琴
pick,"v.拾,采,摘;挑选,选择 n.镐,鹤嘴锄"
pickup,"n.拾起,获得"
picnic,n.野餐 v.(去)野餐
picture,"n.画,图片;影片;美景 v.画,描述,想象"
pie,n.馅饼
piece,"n.(一)件/片/篇;碎片v.(together)拼合,拼凑"
pierce,"v.剌穿,刺破"
pig,n.猪，猪肉；猪一般的人(指肮脏，贪吃的人)
pigeon,n.鸽
pile,"n.堆,大量,大数目 v.(up)堆,叠,堆积"
pilgrim,"n.(在国外)旅游者;朝圣者,最初的移民"
pill,n.药丸
pillar,"n.柱,台柱,栋梁"
pillow,n.枕头
pilot,"n.飞行员;领港员 v.驾驶(飞机等);领航,引水"
pin,"n.钉;大头针,别针,徽章 v.(up)钉住,别住"
pinch,"v.捏,掐,拧;收缩;紧急关头;匮乏;压力"
pine,n.松树
pink,n.粉红色 a.粉红色的
pint,n.品脱
pioneer,"n.先驱,倡导者,开拓者"
pipe,"n.管子,导管;烟斗;笛"
pirate,"n./v.海盗,盗版(者)"
pistol,n.手枪
piston,n.活塞
pit,"n.坑,陷阱;煤矿,矿井"
pitch,"n.沥青;掷 v.用沥青覆盖;投掷,扔"
pity,"v.(觉得)可怜,惋惜 n.憾事,怜悯"
place,n.地方;名次;地位;寓所 v.安排;放置;投(资)
plague,"n.瘟疫,灾害,麻烦,苦恼 vt.折磨,使苦恼"
plain,"a.明白的;朴素的;坦率;平凡 n.平原,旷野"
plan,"n.计划,规划;平面图,设计图 v.计划"
plane,"n.飞机;平面,水平面"
planet,n.行星
plant,"n.植物,作物;工厂;装置 v.栽种,播种,栽培"
plantation,n.种植园
plaster,n.灰泥;熟石膏;膏药
plastic,"n.(常pl.)塑料,塑料制品 a.可塑的,塑性的"
plate,"n.金属板,片;盘子,盆子;板,钢板v.镀,电镀"
plateau,"n.高原,平稳状态[时期]"
platform,"n.平台,台;站台,月台;政纲,党纲"
plausible,"a.似是而非的,似乎合理的,似乎可信的"
play,v.玩，做游戏；参加比赛n.游戏；玩耍；剧本
playground,"n.运动场,游戏场"
plea,n.(法律)抗辩；请求，恳求，托词，口实
plead,"v.恳求,请求;为…辩护;提出…为理由"
pleasant,a.令人愉快的 vt.使高兴 vi.满意；喜欢
please,"v.请;使愉快,使满意;喜欢,愿意"
pleasure,"n.愉快,快乐;乐事,乐趣"
pledge,n.誓约;保证 v.发誓;保证
