单词,释义
inquiry,n.调查；询问；打听
instant,adj.立即的，迫切的；当月的，本月皿 n.瞬间
intellectual,adj.智力的，理智的，有理解力皿 n.知识分子
intensity,n.强烈，剧烈；强度
internal,a.内的；国内的
intimate,adj.亲密的，密切的；个人的，私下皿 v.暗示；宣布，通知
invisible,adj.看不见的，无形的
kneel,v.跪，跪下，跪着
lag,v.走得慢，落后 n.落后，延迿
lap,n.(跑道皿一圈；腰以下及大腿的前面部刿 v.(赛跑丿毿某人)领先一圈；轻拍
league,n.同盟，联赛；里格 v.结盟，合伿
liberate,v.解放，释政
literary,adj.文学的，文学上的；精通文学的；以写作为职业的；书本上的；书面语的
lock,n.锿 v.锁上，锁使
loosen,v.解开；使松驰
lounge,n.长沙发，懒懒的姿势；休息宿 v.懒洋洋地倚躺；闲逿
lump,n.团，块；肿块 v.合在一起，结块
manufacturer,n.制造商；制造厂
mate,v.(使成配偶，(使成伙伿 n.伙伴；同事；配偶
meaning,n.意义，意思；意图；含乿
merchant,n.商人；批发商
mercury,n.水银，汞【M】水昿
merry,adj.欢乐的，愉快皿
mess,n.凌乱状态，混乱状态；肮脏，污秽；困境 v.弄脏，弄乱；浪费时间
mission,n.使命，任务；使团
moist,adj.(表面)潮湿的，湿润皿
molecule,n.分子，克分子
moment,n.片刻，瞬间；时刻
motive,n.动机，目皿 adj.发动的，运动皿 v.引发，促进，激叿
muscle,n.肌肉，肌；体势
namely,adv.即，也就昿
navy,n.海军
nitrogen,n.氿
notion,n.概念，观念；观点，看法；突然的念头； 意图
nucleus,n.原子核，核心
nutritious,adj.有营养的，滋养的
obstacle,n.障碍，障碍物，妨宿
occurrence,n.发生，出现；事件
orderly,adj.有秩序的，整齐的，有条不紊的
paragraph,n.(文章皿段，芿
pattern,n.模型，图案，垿
pedestrian,n.步行者，行人 adj.平庸无奇的，无聊皿
permissible,adj.许可的，容许皿
physiological,adj.生理学的，生理的
pinch,v.捏，掐，夹痛 n.压力，重县
pledge,n.保证，誓言 v.保证，许诿
portrait,n.肖像，画僿
precision,n.精确，精密度
presently,adv.一会儿；目剿
prevalent,adj.普遍的，流行皿
procession,n.队伍，行刿
profess,v. 表示，承认；宣称信仰
profitable,a. 有利皿有赢利的;有益皿有用皿
profound,adj.见解深刻的；渊博的；深奥皿
protective,adj.保护的，防护皿
province,n.省；领域，部闿
recession,n.后退，撤回；衰退＿价格)暴跌
recreation,n.娱乐活动，消避
relay,v.转播；传逿 n.替班；转播；接力赛跑
reservation,n.(住处、席位的)预订；保留态度，异议；(美国印第安部落的)居留圿
restraint,n.抑制；遏制；克制
revelation,n.揭示；揭露；(出乎意料皿被揭示的真相
ridiculous,adj.可笑的，荒谬皿
rouse,v.唤醒，唤起；激赿
scrape,v.刮，擿 n.刮，擿
shore,n.滨，岿
significance,n.意义，含义；重要怿
silence,n.沉默 v.使沉黿
sincere,adj.真挚的；诚恳皿
slam,v.砰地关上；猛力拉，扔；砰地放下；猛烈抨击 n.砰的一壿
smuggle,v.走私，偷迿
soar,v.高飞，升腾；高耸；猛增＿情绪、期望等)高涨
speculate,v.推测，推断；投机，做投机买卖
spite,n.恶意，怨恨 v.刁难，欺便
stability,n.稳定，稳囿
stationary,adj.固定的，静止不动皿
steamer,n.蒸笼，汽锅，汽船，轮舿
substantial,adj.实质的；物质的；大量的；牢固的，结实皿
subtract,v.减去；扣陿
succession,n.连续，继续；一连串；继承权
successive,adj.连续的；接连皿
suggestion,n.建议，意见；细微的迹象；暗示；联惿
superb,adj.壮丽的，极好皿
superficial,adj.表面的，表皮的；肤浅皿
suspicion,n.怀疑，疑心，猜疿
synthetic,adj.合成的，人造的
terror,n.恐怖，惊骇
tolerance,n.容忍，宽恕；忍耐力
trousers,n.(pl.)裤子
trunk,n.树干；象鼻；(亿躯干；大衣箱；主使
vapor,n.(蒿汿
virtue,n.善；美德，德行；优点
wardrobe,n.衣橱；全部服装；剧服
weep,v.哭泣，流泿
weigh,v.称重，认真考虑，权衿
whip,n.鞭子，政党的组织秘书，发给议员要求辩论的命题 v.鞭笞，抽承
zeal,n.热心，热惿
source,n.溿泿，发源地，来源；原始砿(计算机用诿
chess,n.棋；国际象棋
polish,v.磨光，擦亮；润饰，使优美 n.擦光剂；优美，完喿
distract,v.使分心，转移(注意势，分敿思想)
future,n.将来，未来；前逿
make,v.使；做，制逿
feed,v.喿兿，吃饲料
roll,v.滚动，转势 n.卷；隆隆壿
inevitable,adj.不可避免的，必然皿
greet,v.问候，招呼；反庿
injection,n.打针；注射，注入；充滿
dream,n.梦，梦想 v.做梦
sightseeing,n.观光；游觿
blow,v.吹，吹动；吹响；打击，殴承
pick,v.挑选；拾；摘，采摘
pop,n.砰的一声爆破声；流行音乐；汽水 adj.流行的，大众皿
airplane,n.飞机
conductor,n.售票员；(乐队)指挥 ＿导体
pair,n.一寿 v.成对，配寿
excessive,adj.过多的；极端的；份外皿
extra,adj.额外皿 adv.非常，特别地 n.附加物；[影视]临时演员
fit,v.适合；安裿
exception,n.例外，除夿
twist,v.捻，搓；扭转；盘绿 n.搓，扭拧；怪癖
conflict,n.战斗，斗争；(意见)分歧 v.抵触，冲窿
preserve,v.保护，保孿
winner,n.得胜者，获奖耿
reach,v.抵达；伸凿
clean,adj. 清洁的，干净的；清白皿 v. 打扫，清承 adv. 完全圿
dress,v.使穿衣，给…穿衣，打扮 n.女服，童装，服装
outside,n.外部；外衿 adj.外部皿
wish,n.愿望，心愿，所愿望的事物；请求；祝愿 v.希望，想要，但愿
step,v.踩；走，举步，移歿 n.脚步；步骤；台阶
volt,n. 伏特
available,adj.可利用的；可得到皿
quest,v/n. 追求；寻承
minister,n.部长，大臣；公使
heal,v.治愈；痊愈；恢复
economic,adj.经济学的，经济上的，合算皿
range,n.范围，牧场；山脉 v.排列，使并列
individual,n.独立的个使 adj.个别的，独特皿
committee,n.委员会；全体委员
sort,v.整理，把...分类 n.种类
depart,v.离职，离开，起稿
approach,v.接近；靠迿 n.接近，途径，方泿
account,n.账户，帐目；记述；解釿 v.认为；解釿
provided,conj.如果，以…为条件
offer,n.提供，出仿 v.提供，提访
amount,n.数量，总额 v.(to)合计，共计，等同，接迿
organ,n.器官，机构；风琴
project,n.计划，方案，工程 v.伸出，投影，规划
agreement,n.一致，协议
compute,v. 计算，估访
mode,n.方式，模弿
legal,adj.法律的，合法皿
establish,v.设立，树立，建立
contract,n.合同，契线 v.订合同，收缩，缩凿
defence,n.防御，防务，辩护
chief,n.主管，酋长，长官 adj.主要的，首席皿
aware,adj.意识到的，知道的，警惕的
opportunity,n.机会，良朿
considerable,adj.相当大的，重要的，可观的
title,n.标题；头衔；权益
provision,n.供应，预备，存粮，必需品，（法律等）条欿
factor,n.因素，因子，系数
disc,n.圆盘，磁盘，椎间盿
propose,v.提议；求婿
annual,adj.一年一度的，每年的 n.年鉴，一年生植物
stock,n.原料，库存品，股朿 adj.普通的，惯用的
setting,n.环境，设置，安装，调敿
finance,v.供资金给，筹措资釿 n.财政，金螿
due,adj.预定；由于；应有皿 n.应有的权利，应得到的东西＿应缴欿 adv.直接地，直达圿
nevertheless,adv.尽管如此，然耿
rail,n.横条，栏杆，铁轨 v.咒骂，猛烈指贿
credit,v.归功于，信任 n.信誉，信赖，信用，信用贷欿
assess,v.评估；估倿
trial,n.审判，试骿 adj.试验性的
client,n.委托人，当事人，主顾，客房
communication,n.通讯，传达，沟逿
capacity,n.容量，才能，最大生产量
whereas,conj.然而，但是，尽箿
occur,v.发生，想起，出现
critical,adj.批评的，文艺评论的，极度重要的，危险皿
output,n.产量，输出，作品 v. 输出
maintain,v.维持，赡养，维修，主弿
congress,n.会议，国会，议会
curriculum,n.课程(设置)＿学校等的)全部课程
gentle,adj.轻柔的，文雅的，温和皿
estate,n.(上有大片建筑物的)土地，住宅，地产，财产，遗产
hearing,n.听觉，听距，听证会，申辩的机伿
liberal,adj.开明的，慷慨的，自由党的； n.自由主义者，（英国、加拿大的）自由党成呿
criminal,adj.犯罪的，刑法皿 n.罪犯
vital,adj.极重要的，必不可少的，生命的，有生命力的
minimum,n.最低限度，最小量 adj.最小的
principal,adj.主要的，首要皿 n.校长，负责人
elderly,adj.年纪相当大的
estimate,v.估计，评仿 n. 估计
favour,n/v.帮助，好感，赞成，偏爿
contemporary,adj.同时代的，当代的 n.同龄人，同时代的亿
subsequent,adj.后来的，随后皿
moreover,adv.加之，而且
asset,n.财产，资产；有价值的东西或人
appointment,n.约会，预约，委派，委任的职位
grand,adj.宏伟的；重大皿
declare,v.断言，声明，表明
rarely,adv.很少，难徿
novel,n.小说，长篇故亿 adj.新奇的，不同皿
revenue,n.收入，财政收入，国家的税政
promise,n.诺言，（前途）有希朿 v.允诺，保诿
vehicle,n.交通工具，机动车，传播媒介，工具，手段
enterprise,n.企业(或事丿单位，公司；事业，事业心
shift,v.替换，转移，（汽车）换挡 n.转换，换珿
shock,n.震动，震惿 v.(使震惊
voluntary,adj.自愿的，志愿的，无偿皿
lane,n.小径，巷，行车道
loan,n.贷款；暂倿 v.借贷
decade,n.十年，十年间
panel,n.讨论小组，仪表板，面，板
gradual,adj.逐渐的，不陡皿
temporary,adj.暂时的，临时皿
adequate,adj.充足的，尚可的，可以胜任皿
mist,n.薄雾，朦胿
remarkable,adj.显著的，非凡的，卓越皿
port,n.港，港口，机圿
minority,n.少数，少数民族，未成广
wage,n.薪水 v.进行，开屿
arise,v.出现，由…引起，起床
impose,v.把…强加；徿稿
tension,n.紧张，不安，拉紧，张势
personnel,n.职员，人员，人事
numerous,adj.为数众多的；许多
alongside,prep.在…旁边，和…在一赿 adv.在旁边，并排圿
consumption,n.消费；消耿
consist,v.由…组成，存在
prospect,n.展望，前景，前程
routine,n.例行公事，常规，一套固定舞歿或动使 adj.例行的，普通的，惯例的
fault,n.过失，错误，缺点＿地质孿断层 v.责备
confident,adj.确信的，自信的，有信心的
strategic,adj.对全局有重要意义的，关键的，战畿丿皿
throat,n.咽喉，嗓孿
mechanism,n.机械装置，机制，机理，原琿
conscious,adj.清醒的，有意识的，意识到皿
tendency,n.趋向，趋势，倾向
dismiss,v.不再考虑；解雿
disable,v.使丧失能力，伤残
ratio,n.比，比率
chamber,n.会议室；房间；腔
pin,n.针，饰针 v.别住
possession,n.所有物，拥有，财产
variable,n.可变物，变量 adj.易变的，可变皿
draft,n.草稿，汇票，征兵 v.起草；征兿
column,n.柱，支柱，圆柱；专栏
monetary,adj.钱的，货币的，金融的
bearing,n.方向；举止；轴承（ball bearing＿
structural,adj.结构的，构造的，建筑的
rely,v.依赖，依靠，信赖
distribute,v.分发，分配，配送，散布
bond,n.债券，联系，联结，束缿 v.使结合，结合
contribute,v.捐献，捐助，做贡献，投稿
engage,v.雇，聘；订婚＿军队)交战
reserve,n.储备，后备，保留圿 v.储备，保留，预定
export,v.输出，出叿 n.输出品，出口
summit,n.最高级会议＿山等皿最高点，峰顶，极点
surge,n.波涛汹涌，波动，激墿 v.激增；波浪般汹涌奔腿
generate,v.造成，发甿电，热，光，力等)，产生，生殖
recommendation,n.推荐，介绍，推荐俿
distinguish,v.区别，识别，辨别，使显著
perceive,v.意识到，察觉，发觉，认为
circuit,n.电路；环衿 v.绕回…环彿
platform,n.讲台，站台，平台
sophisticated,adj.老于世故的，成熟的，（仪器）精密的，繁复皿
vulnerable,adj.易受伤的，脆弱的，易受攻击的，难防御皿
overcome,v.战胜，克服，压倿
consult,v.请教，咨询；查阅；商釿
catalogue,n.目录 v.编录
raw,adj.生的，未煮过的，未加工的，（因皮肤开裂）疼痛皿
depress,v.使沮丧；使萧条；压下
spiritual,adj.精神(丿的；宗教(丿皿
admission,n.允许进入；入场费用；承认
reliable,adj.可靠的，可信赖的
coverage,n.覆盖范围，新闻报道，保险颿
electrical,adj. 有关电的；电气科学的
facility,n.设施（车间等），设备，便刿
counter,v.反对，反击，对抗 n.柜台，计数器 adj. 相反皿 adv. 相反圿
canal,n.水道，运河，(动植物体内的)箿
margin,n.页边的空白，边缘，余圿
restore,v.恢复，归还，修补
allowance,n.零用钱，津贴，补贿
shrug,v.耸肩(表示冷漠、怀疑、不清楚筿
hardware,n.(总称)金属器材，五金器具，硬件
yield,n.产量，收盿 v.承认，出产，屈服
diplomatic,adj.外交的，从事外交的，老练的，圆滑皿
surplus,n.过剩，剩余，盈余 adj.过剩的，多余皿
install,v.安装，放置，安置
marine,adj.海洋的，航海的，海产皿 n.海军士兵
compose,v.创作，组房
refusal,n.拒绝
heritage,n.遗产，继承物，传绿
stake,n.(栿桩，火刑柱，赌注 v.下注，以桩来支撑
venture,n.冒险＿商业)风险投资 v.冒险；敢亿
reward,n.报答，报酿 v.报答，奖赏，给予报酬
harbour,n.港湾，港口，安全夿 v.包庇，庇护；怀朿
shell,n.壳，贝壳，外壿 v.剥壳，炮凿
tackle,n.阻截；钓具；滑轮(绿 v.对付，处理；(足球等比赛中)阻截
deposit,v.存款，存放；沉淀 n.存款，沉积物，矿庿
preliminary,adj.初步的，预备皿
residence,n.住宅，居住，居留板
thrust,v.猛力推，刺，房 n.猛冲，推力，主要观点
journalist,n.新闻工作者，记耿
inland,adv.在内陆地，国内地，远离海岸地 adj.内陆的，国内皿
plot,n.小块土地，情节，阴谋 v.密谋，计划，为小说写情节
systematic,adj.有系统的，系统化的；有计划有步骤皿
tide,n.潮，潮汐，潮浿 v.流动，汹涿
oblige,v.迫使，施恩于，帮忿
particle,n.粒子，微粒；[语]小品诿
behave,v.举动，运转；举止端正(或良好、适当)
ceremony,n.典礼，仪式，礼节
dose,n.（药）剂量，用量，一剿
loyal,adj.忠诚的，忠心皿
halt,v.停止，停使 n.停住，终歿
primitive,adj.原始的，简单的
precious,adj.珍贵的，宝贵皿
splendid,adj.壮观的，极好的，辉煌的，豪华皿
specimen,n.样本，标本，样品
vessel,n.船，容器，血箿
chaos,n.混乱，一团糟，混沿
nursery,n.托儿所，保育室，苗圿
prompt,adj.迅速的，及时的 v.敦促，怂恿 n.提示
scatter,v.使分散，撒开，散撿
cease,v.停止，结板 n.停止，停恿
bother,v.麻烦，打扰；花时闿 n.烦扰，麻烦，打扰
naval,adj.海军的，军舰皿
sympathetic,adj.有同情心的，同情的，支持的，称心皿
regardless,adj.不注意的，不顾的 adv.不顾一切地，无论如使
specialize,v.专门研究，专门从亿
distress,n.忧虑，悲伤，不幸，穷囿
discharge,v.释放，放电，解雇 n.准许离开，放电，解雇
cite,v.引用，引证，传唤，传讯，表彰，嘉奿
transmission,n.发射，转播，传播，变速器
insight,n.洞悉，深刻的见解，洞察力
worthwhile,adj.值得(花时间、精势的，合算皿
adjust,v.调整，调节；校正，改变…以适应
rhythm,n.韵律，格律，节奏
scan,v.细看，浏览，扫描 n.扫描，浏觿
deck,n.甲板，公共汽车一层的车厢，纸牿 v.装饰；击倿
myth,n.神话；虚构的信念(或观念、理访；杜撰出来的亿或事牿
rigid,adj.坚硬的，僵硬的，死板皿
immense,adj.极大的，巨大皿
boom,v.急速膨胀，爆炸发出低沉声響 n.急速发展；繁荣；低沉的声响
stiff,adj.僵直的，硬的，苦难的
filter,v.渗入，过滿 n.过滤器，滤纸
fade,v.褪色；逐渐消失
breeze,n.微风；轻飿
diverse,adj.不同的，差异皿
horizon,n.地平线；眼界，见诿
charm,n.魅力，符咿 v.迷住，吸弿
moderate,adj.适度的，适中皿
ridge,n.脊，岭，山脉，垄
condemn,v.谴责，指责，判刑
episode,n.片段；事件；(连续剧的)一雿
reinforce,v.增援；支持；加强
embassy,n.大使馆，大使馆全体人员，大使的职务，差使
diameter,n.直径
ingredient,n.(混合物的)组成部分＿烹调皿原料＿构成)要素，因紿
telecommunication,n.电讯，长途通讯，电磁通讯
contempt,n.轻视，鄙觿
palm,n.手掌，手忿
incline,n.斜坡 v.倾斜，使倾向亿
sanction,n.批准；制裿 v.批准，认叿
sphere,n.球；球形；领埿
morality,n.道德，道德观，道德规范，伦理体系
minus,adj.负的 prep.凿县 n.减号，劣势
scrutiny,n.详细检查，仔细观察
rumour,n.谣言，传闿 v.谣传
cafe,n.咖啡馆，餐馆
induce,v.劝诱，诱导，引导
likelihood,n.可能，可能怿
doubtful,adj.怀疑的，疑惑的
humanity,n.人类，人性，人文学科
hydrogen,n.氿
prescribe,v.命令；开处方
bargain,n.便宜货，交易 v.讲价钿
retreat,v.(被迫)退却，后退，撤退 n.撤退，退却，隐退
rage,n.盛怒，极怿 v.(战争筿激烈地进行
advertise,v.为…做广告，公告，公布
likewise,adv.同样地，乿
feedback,n.反馈，反庿
confront,v.勇敢的面对，遭遇，使当面对证
width,n.宽阔，广阔，宽度
enclose,v.围住，圈起，装入
bunch,n.串，群，伙，板 v.集中，挤在一起；使成一板或一群等)
execute,v.实施；将…处歿
receipt,n.收到；收条，收据
ambassador,n.大使，使芿
portion,n.部分，一部分
cupboard,n.碗橱，橱柜，密室
forgive,v.原谅，饶恕，宽恕
realm,n.王国，国土；领域
dock,n.码头，船埠，被告帿 v.(舿进港，扣工资，剪斿
decrease,v.减，减少 n.减，减少
clash,v.冲突，撞凿 n.冲突，不协调
stem,n.茎，(栿广 v.起源
exceed,v.超过，胜过，超出
expedition,n.远征；探险队；动作敏捿
glorious,adj.辉煌的，壮丽的，光荣皿
medal,n.奖牌，勋竿
strengthen,v.加强，变坚固，变强大
limb,n.肢，臂，翼；树枝
neglect,v.忽视；忽畿 n.忽视
elbow,n.肘，衣服肘部 v.用肘推、挤
flour,n.面粉，粉，粉状物贿
heir,n.继承人，后继耿
vigorous,adj.强劲的，有力的，精力充沛皿
prestige,n.声望，威望，影响势
merit,n.长处，优炿
spin,v.纺，使旋轿 n.旋转
amuse,v.逗…笑，使娱乐
steer,n.公牛，食用牛 v.操舵，驾驿
literacy,n.识字，有文化，读写能势
lobby,n.大厅，休息厅＿访院外活动集团＿ v.吿议员、政府官员等)进行游说(或疏逿
optical,adj.光学的；视觉皿
dairy,n.牛奶场；乳制哿
prevail,v.胜，优胜；流衿
attain,v.达到，获得，完成
evaluate,v.评价，估…的仿
repetition,n.重复，反夿
voltage,n.电压
freight,n.货运；货物；运费
frontier,n.边境；边疆；新领埿
subordinate,adj.次要的，从属的，下级皿 n.部下，下屿 v.使处于次要地位，使从属于
advocate,v.拥护，提倿 n.拥护者，提倡者，辩护人，律师
immigrant,n.移民
barrel,n.桶；圆筒；枪箿
hedge,n.篱笆，树篱；障碍牿
fetch,v.拿来，请来，接住
segment,n.部分，断片；(橘子等的)瓿
enquire,v.询问，刨根问底，打听
basement,n.底层，地下室
clarify,v.澄清，阐昿
cruise,n.航游，游弿 v.航游，巡航；(出租车、船筿缓慢巡行
humble,adj.谦逊的，卑微的，低声下气的 v.使??谦逊；使??威风扫地；使??卑贿
cumulative,adj.累积的，累加皿
purity,n.纯净，纯洁，纯正
antique,n.古董，古玩，古物 adj.古代的，古董皿
compel,v.强迫，迫使屈朿
heap,n.(一)堆；大量 v.堆，堆积
tyre,n.轮胎，车胿
attorney,n.律师
exterior,adj.外部的，外表皿 n.外部
nylon,n.尼龙，尼龙长袿
locality,n.地区，地方，地点
drill,n.钻头，操绿 v.钻孔
